saleDateID;Day;saleWeek;saleMonth;saleQuarter;saleYear;fiscalWeek;fiscalMonth;fiscalQuarter;fiscalYear
1;01/01/2005;1;1;1;2005;40;10;4;2004
2;02/01/2005;2;1;1;2005;40;10;4;2004
3;03/01/2005;2;1;1;2005;41;10;4;2004
4;04/01/2005;2;1;1;2005;41;10;4;2004
5;05/01/2005;2;1;1;2005;41;10;4;2004
6;06/01/2005;2;1;1;2005;41;10;4;2004
7;07/01/2005;2;1;1;2005;41;10;4;2004
8;08/01/2005;2;1;1;2005;41;10;4;2004
9;09/01/2005;3;1;1;2005;41;10;4;2004
10;10/01/2005;3;1;1;2005;42;10;4;2004
11;11/01/2005;3;1;1;2005;42;10;4;2004
12;12/01/2005;3;1;1;2005;42;10;4;2004
13;13/01/2005;3;1;1;2005;42;10;4;2004
14;14/01/2005;3;1;1;2005;42;10;4;2004
15;15/01/2005;3;1;1;2005;42;10;4;2004
16;16/01/2005;4;1;1;2005;42;10;4;2004
17;17/01/2005;4;1;1;2005;43;10;4;2004
18;18/01/2005;4;1;1;2005;43;10;4;2004
19;19/01/2005;4;1;1;2005;43;10;4;2004
20;20/01/2005;4;1;1;2005;43;10;4;2004
21;21/01/2005;4;1;1;2005;43;10;4;2004
22;22/01/2005;4;1;1;2005;43;10;4;2004
23;23/01/2005;5;1;1;2005;43;10;4;2004
24;24/01/2005;5;1;1;2005;44;10;4;2004
25;25/01/2005;5;1;1;2005;44;10;4;2004
26;26/01/2005;5;1;1;2005;44;10;4;2004
27;27/01/2005;5;1;1;2005;44;10;4;2004
28;28/01/2005;5;1;1;2005;44;10;4;2004
29;29/01/2005;5;1;1;2005;44;10;4;2004
30;30/01/2005;6;1;1;2005;44;10;4;2004
31;31/01/2005;6;1;1;2005;45;10;4;2004
32;01/02/2005;6;2;1;2005;45;11;4;2004
33;02/02/2005;6;2;1;2005;45;11;4;2004
34;03/02/2005;6;2;1;2005;45;11;4;2004
35;04/02/2005;6;2;1;2005;45;11;4;2004
36;05/02/2005;6;2;1;2005;45;11;4;2004
37;06/02/2005;7;2;1;2005;45;11;4;2004
38;07/02/2005;7;2;1;2005;46;11;4;2004
39;08/02/2005;7;2;1;2005;46;11;4;2004
